country,sum,count,Prevalence (%),CI Lower (%),CI Upper (%),Gene
China,4,1693,0.23626698168930893,0.09191679278797425,0.6059361951348898,hdc
Cote d'Ivoire,0,12,0.0,0.0,24.249400665524096,hdc
Czech Republic,0,24,0.0,0.0,13.797620467498026,hdc
Denmark,0,22,0.0,0.0,14.865487460862095,hdc
Egypt,0,12,0.0,0.0,24.249400665524096,hdc
Finland,0,34,0.0,0.0,10.15145541533238,hdc
France,0,128,0.0,0.0,2.913695627350843,hdc
Georgia,0,11,0.0,0.0,25.883296696803182,hdc
Germany,7,104,6.730769230769231,3.2983689029670074,13.245786763879794,hdc
Ghana,0,61,0.0,0.0,5.924386789811285,hdc
Greece,0,58,0.0,0.0,6.211785578720294,hdc
Hungary,0,14,0.0,2.7755575615628914e-15,21.531080273763585,hdc
India,0,176,0.0,0.0,2.136025166768774,hdc
Indonesia,0,15,0.0,0.0,20.388330103584867,hdc
Ireland,0,15,0.0,0.0,20.388330103584867,hdc
Italy,1,72,1.3888888888888888,0.24559518829057672,7.456602147476158,hdc
Japan,0,43,0.0,0.0,8.20098032257912,hdc
Malaysia,0,17,0.0,0.0,18.431813500885184,hdc
Mexico,0,25,0.0,0.0,13.319225093904855,hdc
Nigeria,0,17,0.0,0.0,18.431813500885184,hdc
Norway,0,40,0.0,0.0,8.762160119728668,hdc
Pakistan,0,18,0.0,1.3877787807814457e-15,17.58792236466577,hdc
Poland,0,67,0.0,0.0,5.422613939130181,hdc
Portugal,0,40,0.0,0.0,8.762160119728668,hdc
Russia,0,63,0.0,0.0,5.747119958885175,hdc
Slovakia,0,10,0.0,0.0,27.753279986288927,hdc
South Africa,0,65,0.0,3.469446951953614e-16,5.580153132285691,hdc
South Korea,4,403,0.9925558312655087,0.3866435622561325,2.5239395565387914,hdc
Spain,6,40,15.0,7.061187717320356,29.07232436648971,hdc
Sweden,0,25,0.0,0.0,13.319225093904855,hdc
Switzerland,9,197,4.568527918781726,2.421856904528296,8.453118286820812,hdc
Taiwan,0,46,0.0,0.0,7.707356308558041,hdc
Tanzania,0,32,0.0,0.0,10.717919825507066,hdc
Thailand,0,55,0.0,0.0,6.5284901117086385,hdc
Turkey,1,65,1.5384615384615385,0.27209446020234684,8.213284729551477,hdc
USA,0,444,0.0,0.0,0.857772040759666,hdc
United Kingdom,0,23,0.0,0.0,14.31166184504269,hdc
Viet Nam,0,19,0.0,1.3877787807814457e-15,16.817922405261633,hdc
Argentina,0,28,0.0,1.3877787807814457e-15,12.06433047658457,agmatinase
Australia,6,25,24.0,11.496313693401442,43.429683355429084,agmatinase
Bangladesh,0,22,0.0,0.0,14.865487460862095,agmatinase
Belgium,0,68,0.0,0.0,5.347133652007057,agmatinase
Brazil,0,55,0.0,0.0,6.5284901117086385,agmatinase
Bulgaria,0,19,0.0,1.3877787807814457e-15,16.817922405261633,agmatinase
Cameroon,0,25,0.0,0.0,13.319225093904855,agmatinase
Canada,0,53,0.0,0.0,6.75819885765419,agmatinase
China,2,1693,0.11813349084465447,0.03240244424935579,0.42971844394157444,agmatinase
Cote d'Ivoire,0,12,0.0,0.0,24.249400665524096,agmatinase
Czech Republic,0,24,0.0,0.0,13.797620467498026,agmatinase
Denmark,0,22,0.0,0.0,14.865487460862095,agmatinase
Egypt,0,12,0.0,0.0,24.249400665524096,agmatinase
Finland,0,34,0.0,0.0,10.15145541533238,agmatinase
France,0,128,0.0,0.0,2.913695627350843,agmatinase
Georgia,0,11,0.0,0.0,25.883296696803182,agmatinase
Germany,0,104,0.0,0.0,3.5621354372451925,agmatinase
Ghana,0,61,0.0,0.0,5.924386789811285,agmatinase
Greece,0,58,0.0,0.0,6.211785578720294,agmatinase
Hungary,0,14,0.0,2.7755575615628914e-15,21.531080273763585,agmatinase
India,0,176,0.0,0.0,2.136025166768774,agmatinase
Indonesia,0,15,0.0,0.0,20.388330103584867,agmatinase
Ireland,1,15,6.666666666666667,1.1866895493268554,29.816529873780027,agmatinase
Italy,0,72,0.0,3.469446951953614e-16,5.065117259645782,agmatinase
Japan,1,43,2.3255813953488373,0.41170872743337694,12.058993440607182,agmatinase
Malaysia,0,17,0.0,0.0,18.431813500885184,agmatinase
Mexico,0,25,0.0,0.0,13.319225093904855,agmatinase
Nigeria,0,17,0.0,0.0,18.431813500885184,agmatinase
Norway,0,40,0.0,0.0,8.762160119728668,agmatinase
Pakistan,0,18,0.0,1.3877787807814457e-15,17.58792236466577,agmatinase
Poland,0,67,0.0,0.0,5.422613939130181,agmatinase
Portugal,0,40,0.0,0.0,8.762160119728668,agmatinase
Russia,0,63,0.0,0.0,5.747119958885175,agmatinase
Slovakia,0,10,0.0,0.0,27.753279986288927,agmatinase
South Africa,0,65,0.0,3.469446951953614e-16,5.580153132285691,agmatinase
South Korea,2,403,0.49627791563275436,0.13620297341073173,1.791196176966926,agmatinase
Spain,0,40,0.0,0.0,8.762160119728668,agmatinase
Sweden,0,25,0.0,0.0,13.319225093904855,agmatinase
Switzerland,0,197,0.0,0.0,1.9126821938311445,agmatinase
Taiwan,0,46,0.0,0.0,7.707356308558041,agmatinase
Tanzania,0,32,0.0,0.0,10.717919825507066,agmatinase
Thailand,0,55,0.0,0.0,6.5284901117086385,agmatinase
Turkey,0,65,0.0,3.469446951953614e-16,5.580153132285691,agmatinase
USA,17,444,3.828828828828829,2.4040581475897365,6.045686304463108,agmatinase
United Kingdom,0,23,0.0,0.0,14.31166184504269,agmatinase
Viet Nam,0,19,0.0,1.3877787807814457e-15,16.817922405261633,agmatinase
Argentina,4,28,14.285714285714286,5.699005319749395,31.489802163525297,odc
Australia,4,25,16.0,6.403451456676438,34.65362160717886,odc
Bangladesh,1,22,4.545454545454546,0.8069427621263836,21.79804583865734,odc
Belgium,13,68,19.11764705882353,11.52729403092493,30.010641460020608,odc
Brazil,3,55,5.454545454545454,1.872321555468448,14.853060544053795,odc
Bulgaria,5,19,26.31578947368421,11.806412346782508,48.791550897815114,odc
Cameroon,1,25,4.0,0.7096233501987265,19.54406373619374,odc
Canada,17,53,32.075471698113205,21.09221407913506,45.481479850967375,odc
China,320,1693,18.901358535144713,17.107570132877388,20.835954612691022,odc
Cote d'Ivoire,0,12,0.0,0.0,24.249400665524096,odc
Czech Republic,14,24,58.333333333333336,38.83466586522876,75.53239739018825,odc
Denmark,4,22,18.181818181818183,7.306884583422055,38.51660743712655,odc
Egypt,8,12,66.66666666666667,39.06220888727995,86.18799089087868,odc
Finland,4,34,11.764705882352942,4.671446664882336,26.620842770371834,odc
France,15,128,11.71875,7.231682349355734,18.436615865334755,odc
Georgia,9,11,81.81818181818181,52.30194380391558,94.86323102539149,odc
